source_table,source_rows,group_by,group_value,column,n,mean,median,min,max
results/baseline_matrix_seed_20260510/metrics.csv,36,method,proposed_connected,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,method,proposed_connected,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,method,space_colonization,vertices,12,8494.583333,8350.0,6360.0,10130.0
results/baseline_matrix_seed_20260510/metrics.csv,36,method,space_colonization,faces,12,17175.5,17120.0,12768.0,20340.0
results/baseline_matrix_seed_20260510/metrics.csv,36,method,space_colonization,mesh_component_count,12,1.583333,1.0,1.0,4.0
results/baseline_matrix_seed_20260510/metrics.csv,36,method,space_colonization,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,method,space_colonization,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,root,vertices,12,3212.416667,718.0,298.0,9241.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,root,faces,12,6476.5,1432.0,592.0,18526.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,root,mesh_component_count,12,1.083333,1.0,1.0,2.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,root,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,root,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,tree,vertices,12,3502.083333,760.0,246.0,10130.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,tree,faces,12,7025.666667,1516.0,488.0,20340.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,tree,mesh_component_count,12,1.416667,1.0,1.0,4.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,tree,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,tree,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,vine,vertices,12,3139.666667,1221.0,300.0,8384.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,vine,faces,12,6388.333333,2438.0,596.0,17188.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,vine,mesh_component_count,12,1.5,1.0,1.0,4.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,vine,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260510/metrics.csv,36,case,vine,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,,,vertices,36,3421.222222,862.0,246.0,11088.0
results/baseline_matrix_seed_20260511/metrics.csv,36,,,faces,36,6894.222222,1734.0,488.0,22240.0
results/baseline_matrix_seed_20260511/metrics.csv,36,,,mesh_component_count,36,1.166667,1.0,1.0,4.0
results/baseline_matrix_seed_20260511/metrics.csv,36,,,largest_occupancy_component_ratio_6n,36,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,,,occupancy_component_count_6n,36,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,lsystem,vertices,12,529.916667,531.0,246.0,862.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,lsystem,faces,12,1058.5,1058.0,488.0,1748.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,lsystem,mesh_component_count,12,1.166667,1.0,1.0,3.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,lsystem,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,lsystem,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,proposed_connected,vertices,12,827.333333,678.0,354.0,1948.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,proposed_connected,faces,12,1650.666667,1352.0,704.0,3892.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,proposed_connected,mesh_component_count,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,proposed_connected,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,proposed_connected,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,space_colonization,vertices,12,8906.416667,8920.5,6716.0,11088.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,space_colonization,faces,12,17973.5,17897.0,13468.0,22240.0
